"層","ゾーン候補","状態","図面対象","幅_mm","奥行_mm","高さ_mm","図面幅_cm","図面奥行_cm","名称","税抜単価","台数","税抜小計","商品リンク","備考","寸法信頼度","寸法メモ","検証結果","旧幅_mm","旧奥行_mm","旧高さ_mm","検証日","","","",""
"","FW","採用中","","1500","3000","2310","150","300","HD Athletic NX Half Half Combo Rack","¥4,000,000","2","¥8,000,000","HD Athletic NX Half Half Combo Rack | Hammer Strength","2台導入で新規4ステーション。","低","構成可変。LF公式は奥行99〜302cm・高さ218/231cm。配置仮置き1500x3000x2310","推定維持","1500","3000","2310","2026-09-12","","","",""
"","FW","採用中","","¥2,400","1920","¥83","240","192","Impact Suppression Platform / Platform床材","¥600,000","4","¥2,400,000","https://www.lifefitness.com/en-us/catalog/strength-training/racks-rigs-platforms/impact-suppression-platform","Half Half Combo Rack両面×2台で4面分を想定。正式見積必須","高","ISP-6X8公式 LxWxH 192x240x8.3cm → 床置き幅2400×奥行1920","高さ80→83訂正","2400","1920","80","2026-09-12","","","",""
"","FW","採用中","","¥2,126","620","¥810","213","62","ラバーダンベル EVA-D104 42.5kg〜60kg追加","¥471,520","1","¥471,520","https://evolgear.com/product/eva-d104.html","42.5/45/47.5/50/52.5/55/57.5/60kgを各ペア追加想定","中","ダンベル本体ではなくEVRB-C177ラック占有想定（要実測）","推定維持","2126","620","810","2026-09-12","","","",""
"","FW","採用中","","¥1,400","760","¥470","140","76","アジャスタブルインクラインベンチ EVRB-L139","¥77,050","3","¥231,150","https://evolgear.com/product/evrb-l139.html","既存3台＋追加3台で合計6台体制","高","Evolgear公式 W1400×D760×H470","一致","1400","760","470","2026-09-12","","","",""
"","Glute","採用中","","¥1,780","740","¥1,450","178","74","Selectorized 3D Multi-Abductor Pro","¥2,400,000","1","¥2,400,000","https://www.precor.com/ja-JP/strength/glutebuilder/selectorized","初心者女性向けの入口。立位・座位・臥位に対応。国内正式見積必須","高","Precor GSL0622 公式 LxWxH 74x178x145cm","一致","1780","740","1450","2026-09-12","","","",""
"","Glute","採用中","","1700","1960","1300","170","196","Hip Thrust Elite","¥1,800,000","1","¥1,800,000","https://www.precor.com/ja-JP/strength/glutebuilder/selectorized","グルートゾーンの主役。国内正式見積必須","高","Precor GPL0612 公式 LxWxH 196x170x130cm","一致","1700","1960","1300","2026-09-12","","","",""
"","Glute","採用中","","¥1,880","1700","¥740","188","170","Deadlift Elite","¥1,500,000","1","¥1,500,000","https://www.precor.com/en-US/strength/glutebuilder","片側14kgスタート・高重量対応。男性上級者にも刺さる","高","Precor GPL0551 公式 LxWxH 170x188x74cm","一致","1880","1700","740","2026-09-12","","","",""
"","背中","採用中","","¥1,415","1811","¥638","142","181","Reloaded T Bar Row","¥1,200,000","1","¥1,200,000","https://www.myarsenalstrength.com/strength-equipment/reloaded/upper-body-reloaded/reloaded-t-bar-row","WARRIORS GYM系。背中の目玉","高","Arsenal公式 W55.7×H25.1×L71.3in → 1415x1811x638","微修正","1410","1810","640","2026-09-12","","","",""
"","背中","採用中","","¥1,380","1580","¥2,030","138","158","Pure Kraft High Row Dual","¥2,200,000","1","¥2,200,000","https://gym80.de/en/product/4340/","背中の広がり。gym80枠","高","gym80 4340 公式 HxWxL 2030x1380x1580","一致","1380","1580","2030","2026-09-12","","","",""
"","背中","採用中","","¥1,825","1475","¥2,000","183","148","Pure Kraft Low Row Dual","¥2,200,000","1","¥2,200,000","https://www.gym80.co.uk/products/pure-kraft-low-row","背中の厚み。玄人向け","高","gym80 4319 公式 HxWxL 2000x1825x1475","一致","1825","1475","2000","2026-09-12","","","",""
