id,name,category,width_cm,length_cm,clearance_cm,module_width_cm,module_length_cm,place_px_w,place_px_h,qty,lp_image,place_file,preview_file,brand,model
cardio_1,トレッドミル,cardio,91,174,80,251,334,251,334,13,cardio_1.jpg,cardio_1_place.png,cardio_1_preview.png,Technogym,Excite Run系
cardio_2,クロストレーナー,cardio,70,200,80,230,360,230,360,4,cardio_2.jpg,cardio_2_place.png,cardio_2_preview.png,Technogym,Excite Synchro系
cardio_3a,エアロバイク,cardio,60,114,80,220,274,220,274,1,cardio_3.jpg,cardio_3a_place.png,cardio_3a_preview.png,Technogym,Excite Bike系
cardio_3b,リクラインバイク,cardio,60,160,80,220,320,220,320,2,cardio_3.jpg,cardio_3b_place.png,cardio_3b_preview.png,Technogym,Excite Recline系
resistance_1,レッグプレス,resistance,106,172,80,266,332,266,332,1,resistance_1.jpg,resistance_1_place.png,resistance_1_preview.png,Cybex,Eagle NX 20040
resistance_2,ショルダープレス,resistance,155,173,80,315,333,315,333,1,resistance_2.jpg,resistance_2_place.png,resistance_2_preview.png,Cybex,Eagle NX 20010
resistance_3,ペックフライ/リアデルト,resistance,150,135,80,310,295,310,295,1,resistance_3.jpg,resistance_3_place.png,resistance_3_preview.png,Cybex,Prestige 21110
resistance_4,ラットプルダウン,resistance,110,153,80,270,313,270,313,1,resistance_4.jpg,resistance_4_place.png,resistance_4_preview.png,Cybex,VR1 13130
resistance_5,グルート,resistance,101,127,80,261,287,261,287,1,resistance_5.jpg,resistance_5_place.png,resistance_5_preview.png,Cybex,VR1 13170
resistance_6,シットアップベンチ,resistance,70,160,80,230,320,230,320,1,resistance_6.jpg,resistance_6_place.png,resistance_6_preview.png,不明,—
resistance_7,バックエクステンション,resistance,80,130,80,240,290,240,290,1,resistance_7.jpg,resistance_7_place.png,resistance_7_preview.png,不明,—
resistance_8,レッグエクステンション,resistance,109,127,80,269,287,269,287,1,resistance_8.jpg,resistance_8_place.png,resistance_8_preview.png,Cybex,Eagle NX 20050
resistance_9,レッグカール,resistance,108,158,80,268,318,268,318,1,resistance_9.jpg,resistance_9_place.png,resistance_9_preview.png,Cybex,Eagle NX 20060
resistance_10_11,ヒップアブ/アド（両用）,resistance,84,163,80,244,323,244,323,1,resistance_10.jpg,resistance_10_place.png,resistance_10_preview.png,Cybex,Eagle NX 20180
resistance_12,ロータリートルソー,resistance,119,117,80,279,277,279,277,1,resistance_12.jpg,resistance_12_place.png,resistance_12_preview.png,Cybex,Eagle NX 20190
resistance_13,チェストプレス,resistance,145,114,80,305,274,305,274,1,resistance_13.jpg,resistance_13_place.png,resistance_13_preview.png,Cybex,Eagle NX 20000
resistance_14,ローロー,resistance,108,174,80,268,334,268,334,1,resistance_14.jpg,resistance_14_place.png,resistance_14_preview.png,Cybex,Eagle NX 20030
resistance_15,アブドミナル,resistance,101,146,80,261,306,261,306,1,resistance_15.jpg,resistance_15_place.png,resistance_15_preview.png,Cybex,Eagle NX 20090
freeweight_1,パワーラック,freeweight,120,150,80,280,310,280,310,2,freeweight_1.jpg,freeweight_1_place.png,freeweight_1_preview.png,BULL,パワーラック
freeweight_2,インクラインチェストプレス,freeweight,143,208,80,303,368,303,368,1,freeweight_2.jpg,freeweight_2_place.png,freeweight_2_preview.png,Matrix,Plate Loaded系
freeweight_3,プリチャーカール,freeweight,80,110,80,240,270,240,270,1,freeweight_3.jpg,freeweight_3_place.png,freeweight_3_preview.png,Steelflex,Plate Loaded系
freeweight_4,チンニング＆ディップス,freeweight,127,114,80,287,274,287,274,1,freeweight_4.jpg,freeweight_4_place.png,freeweight_4_preview.png,Life Fitness,Signature SCDLR
freeweight_5,ベンチプレス台,freeweight,130,170,80,290,330,290,330,1,freeweight_5.jpg,freeweight_5_place.png,freeweight_5_preview.png,BULL,オリンピックベンチ
freeweight_6,スミスマシン,freeweight,200,140,80,360,300,360,300,3,freeweight_6.jpg,freeweight_6_place.png,freeweight_6_preview.png,Technogym,Selection系想定
freeweight_7,Cybex ケーブルマシン,freeweight,137,114,80,297,274,297,274,1,freeweight_7.jpg,freeweight_7_place.png,freeweight_7_preview.png,Cybex,Bravo 8800系
freeweight_8,Technogym ケーブルマシン,freeweight,120,145,80,280,305,280,305,1,freeweight_8.jpg,freeweight_8_place.png,freeweight_8_preview.png,Technogym,Dual Adjustable Pulley
freeweight_9,ケーブルステーション,freeweight,250,400,80,410,560,410,560,1,freeweight_9.jpg,freeweight_9_place.png,freeweight_9_preview.png,不明,マルチジャングル
freeweight_10,ダンベルラック,freeweight,70,250,80,230,410,230,410,1,freeweight_10.jpg,freeweight_10_place.png,freeweight_10_preview.png,IVANKO,2段ラック
freeweight_11,アジャスタブルベンチ,freeweight,70,140,80,230,300,230,300,5,freeweight_11.jpg,freeweight_11_place.png,freeweight_11_preview.png,不明,—
freeweight_12,45°レッグプレス,freeweight,150,220,80,310,380,310,380,1,freeweight_12.jpg,freeweight_12_place.png,freeweight_12_preview.png,不明,Plate Loaded
