"カテゴリ","名称","ブランド","シリーズ/型番","台数","幅(mm)","奥行(mm)","高さ(mm)","写真"
"有酸素","トレッドミル","Technogym","Excite Run系","13","910","1740","1580","cardio_1"
"有酸素","クロストレーナー","Technogym","Excite Synchro系","4","700","2000","1685","cardio_2"
"有酸素","エアロバイク","Technogym","Excite Bike系","1","600","1140","1360","cardio_3"
"有酸素","リクラインバイク","Technogym","Excite Recline系","2","600","1600","1290","cardio_3"
"ウェイト","レッグプレス","Cybex","Eagle NX 20040","1","1060","1720","1850","resistance_1"
"ウェイト","ショルダープレス","Cybex","Eagle NX 20010","1","1550","1730","1420","resistance_2"
"ウェイト","ペックフライ/リアデルト","Cybex","Prestige 21110","1","1500","1350","1880","resistance_3"
"ウェイト","ラットプルダウン","Cybex","VR1 13130","1","1100","1530","2260","resistance_4"
"ウェイト","グルート","Cybex","VR1 13170","1","1010","1270","1570","resistance_5"
"ウェイト","シットアップベンチ","不明","—","1","700","1600","900","resistance_6"
"ウェイト","バックエクステンション","不明","—","1","800","1300","900","resistance_7"
"ウェイト","レッグエクステンション","Cybex","Eagle NX 20050","1","1090","1270","1420","resistance_8"
"ウェイト","レッグカール","Cybex","Eagle NX 20060","1","1080","1580","1420","resistance_9"
"ウェイト","ヒップアブ/アド（両用）","Cybex","Eagle NX 20180","1","840","1630","1420","resistance_10_11"
"ウェイト","ロータリートルソー","Cybex","Eagle NX 20190","1","1190","1170","2000","resistance_12"
"ウェイト","チェストプレス","Cybex","Eagle NX 20000","1","1450","1140","1800","resistance_13"
"ウェイト","ローロー","Cybex","Eagle NX 20030","1","1080","1740","1850","resistance_14"
"ウェイト","アブドミナル","Cybex","Eagle NX 20090","1","1010","1460","1420","resistance_15"
"フリーウェイト","パワーラック","BULL","パワーラック","2","1200","1500","2300","freeweight_1"
"フリーウェイト","インクラインチェストプレス","Matrix","Plate Loaded系","1","1430","2080","1300","freeweight_2"
"フリーウェイト","プリチャーカール","Steelflex","Plate Loaded系","1","800","1100","900","freeweight_3"
"フリーウェイト","チンニング＆ディップス","Life Fitness","Signature SCDLR","1","1270","1140","2330","freeweight_4"
"フリーウェイト","ベンチプレス台","BULL","オリンピックベンチ","1","1300","1700","1400","freeweight_5"
"フリーウェイト","スミスマシン","Technogym","Selection系想定","3","2000","1400","2300","freeweight_6"
"フリーウェイト","ケーブルマシン","Cybex","Bravo 8800系","1","1370","1140","1960","freeweight_7"
"フリーウェイト","ケーブルマシン","Technogym","Dual Adjustable Pulley","1","1200","1450","2320","freeweight_8"
"フリーウェイト","ケーブルステーション","不明","マルチジャングル","1","2500","4000","2300","freeweight_9"
"フリーウェイト","ダンベルラック","IVANKO","2段ラック","1","700","2500","900","freeweight_10"
"フリーウェイト","アジャスタブルベンチ","不明","—","5","700","1400","500","freeweight_11"
"フリーウェイト","45°レッグプレス","不明","Plate Loaded","1","1500","2200","1500","freeweight_12"
